brand,month,latest_filing_date,product_name,filing_no,filer,month_count,note
参半,2026-05,2026-05-27,参半齿色净牙膏,粤国牙膏网备字2026002425,深圳小阔科技股份有限公司,8,2026-05存在备案记录
笑容加,2026-05,,,,,0,2026-05未检索到备案记录
高露洁,2026-05,2026-05-25,高露洁劲白牙膏茉莉白茶味,粤国牙膏网备字2026000101,高露洁棕榄（中国）有限公司,3,2026-05存在备案记录
佳洁士,2026-05,,,,,0,2026-05未检索到备案记录
BOP,2026-05,2026-05-19,BOP波普专研热导色修美白牙膏 百香薄荷香型,沪国牙膏网备字2026000089,上海格芒生物科技有限公司,1,2026-05存在备案记录
白惜,2026-05,,,,,0,2026-05未检索到备案记录
俊小白,2026-05,2026-05-28,俊小白泰康拜博口腔防蛀童趣变色牙膏(鲜橙果香香型),粤国牙膏网备字2026002648,广东九科口腔用品有限公司,3,2026-05存在备案记录
冷酸灵,2026-05,2026-05-29,冷酸灵舒敏修护牙膏(收藏版),渝国牙膏网备字2026000048,重庆登康口腔护理用品股份有限公司,7,2026-05存在备案记录
舒适达,2026-05,,,,,0,2026-05未检索到备案记录
好来,2026-05,2026-05-12,Darlie All Shiny White Baking Soda Aloe Fresh Toothpaste,国牙膏网备出字（粤）2026000090,好来化工(中山)有限公司,1,2026-05存在备案记录
